date,game,category,sales,first_commission,final_commission,commission_rate_%,year,quarter,game_group
2019-01-01,BET_4,bettting,19531.75,2109.31,2131.36,10.912283845533555,2019,1,BETTING
2019-01-01,V-SOCCER_1,virtual,27953.25,978.41,1069.88,3.8273903750011184,2019,1,VIRTUAL
2019-01-01,V-SOCCER_2,virtual,160.75,8.91,8.9,5.536547433903577,2019,1,VIRTUAL
2019-01-01,V-SOCCER_3,virtual,132.5,9.56,9.19,6.9358490566037725,2019,1,VIRTUAL
2019-01-01,V-SOCCER_4,virtual,108.25,9.95,9.33,8.6189376443418,2019,1,VIRTUAL
2019-04-01,FINO,lottery,86926.0,5898.23,5972.35,6.870614085544026,2019,2,FINO
2019-04-01,FINO SELF,lottery,2808.0,117.49,128.05,4.560185185185186,2019,2,FINO
2019-04-01,JACKPOT,lottery,13002.5,1495.66,1601.08,12.313631993847336,2019,2,JACKPOT
2019-04-01,LOTO,lottery,1187.5,161.52,171.43,14.43621052631579,2019,2,LOTO
2019-04-01,SEVEN-IN-ROW,lottery,727.5,80.34,81.58,11.213745704467353,2019,2,SEVEN-IN-ROW
2019-04-01,LUCKY-3,lottery,663.5,58.11,59.56,8.976639035418236,2019,2,LUCKY-3
2019-04-01,PLUS-5,lottery,469.0,39.19,57.18,12.191897654584222,2019,2,PLUS-5
2019-04-01,CAST WED,bettting,7.5,1.01,1.02,13.600000000000001,2019,2,CAST_GAMES
2019-04-01,CAST SAT,bettting,10.5,1.39,1.42,13.523809523809524,2019,2,CAST_GAMES
2019-04-01,CAST SUN,bettting,24.25,3.22,3.29,13.567010309278352,2019,2,CAST_GAMES
2019-04-01,CASTGOALS,bettting,7.5,0.9,1.03,13.733333333333334,2019,2,CAST_GAMES
2019-04-01,GREYHOUNDS,bettting,0.0,0.0,0.0,,2019,2,GREYHOUNDS
2019-04-01,BET_1,bettting,15818.25,395.57,410.48,2.5949773205000555,2019,2,BETTING
2019-04-01,BET_2,bettting,10204.75,510.38,577.91,5.663147063867316,2019,2,BETTING
2019-04-01,BET_3,bettting,11132.5,868.35,817.54,7.343723332584775,2019,2,BETTING
2019-04-01,BET_4,bettting,17480.5,1887.88,1859.16,10.635622550842367,2019,2,BETTING
2019-04-01,V-SOCCER_1,virtual,15266.75,534.4,613.32,4.017357983853801,2019,2,VIRTUAL
2019-04-01,V-SOCCER_2,virtual,777.25,42.81,43.18,5.555484078481827,2019,2,VIRTUAL
