date,game,category,sales,first_commission,final_commission
q2-2020,V-SOCCER_1,virtual,20963.75,733.77,821.74
q2-2020,V-SOCCER_2,virtual,232.25,12.82,12.39
q2-2020,V-SOCCER_3,virtual,109,7.87,7.47
q2-2020,V-SOCCER_4,virtual,27,2.49,2.52
q3-2020,FINO,lottery,131352.5,8917.41,9056.46
q3-2020,FINO SELF,lottery,774,32.29,34.68
q3-2020,JACKPOT,lottery,25755.5,2962.92,3079.55
q3-2020,LOTO,lottery,1043,142.05,141.37
q3-2020,SEVEN-IN-ROW,lottery,966,106.67,107.96
q3-2020,LUCKY-3,lottery,687.5,60,64.11
q3-2020,PLUS-5,lottery,458,38.22,56.61
q3-2020,CAST WED,bettting,4,0.53,0.48
q3-2020,CAST SAT,bettting,23.25,3.09,3.11
q3-2020,CAST SUN,bettting,95.75,12.73,12.8
q3-2020,CASTGOALS,bettting,9.75,1.17,1.33
q3-2020,LUCKYSPIN,virtual,15191,350.69,382.68
q3-2020,BET_1,bettting,17017.75,382.2,417.88
q3-2020,BET_2,bettting,12511.5,594.29,572.79
q3-2020,BET_3,bettting,8980.25,610.61,618.7
q3-2020,BET_4,bettting,18015.5,1765.44,1820.36
q3-2020,V-SOCCER_1,virtual,35598.75,1245.9,1244.54
q3-2020,V-SOCCER_2,virtual,1230.25,67.75,65.19
q3-2020,V-SOCCER_3,virtual,597,42.97,43.03
q3-2020,V-SOCCER_4,virtual,144.75,13.38,11.95
q4-2020,FINO,lottery,40998.5,2782.14,2772.35
q4-2020,FINO SELF,lottery,71,2.98,3.36
q4-2020,JACKPOT,lottery,8637.5,993.49,1148.9
q4-2020,LOTO,lottery,306.5,41.73,46.31
q4-2020,SEVEN-IN-ROW,lottery,251,27.71,29.35
q4-2020,LUCKY-3,lottery,179.5,15.7,14.72
q4-2020,PLUS-5,lottery,160.5,13.37,9.24
q4-2020,CAST WED,bettting,20.5,2.73,3.21
q4-2020,CAST SAT,bettting,30,3.99,4.05
q4-2020,CAST SUN,bettting,46.5,6.2,6.25
q4-2020,CASTGOALS,bettting,2.5,0.3,0.35
q4-2020,LUCKYSPIN,virtual,2528.5,58.24,65.69
q4-2020,GREYHOUNDS,bettting,0,0,0
q4-2020,BET_1,bettting,2046.5,46.05,55.98
q4-2020,BET_2,bettting,1422.75,67.58,73.68
q4-2020,BET_3,bettting,2345.5,159.5,174.12
q4-2020,BET_4,bettting,7899.25,774.14,788.04
q4-2020,V-SOCCER_1,virtual,8710.5,304.88,372.89
q4-2020,V-SOCCER_2,virtual,482.75,26.59,24.56
q4-2020,V-SOCCER_3,virtual,412.5,29.69,28.34
q4-2020,V-SOCCER_4,virtual,42.75,3.93,3.95
q1-2021,FINO,lottery,8710,592.1,647.6
q1-2021,FINO SELF,lottery,26,1.13,1.25
q1-2021,JACKPOT,lottery,1605,184.62,265.86
q1-2021,LOTO,lottery,67,9.11,8.85
q1-2021,SEVEN-IN-ROW,lottery,40.5,4.47,4.16
q1-2021,LUCKY-3,lottery,20,1.83,1.46
q1-2021,PLUS-5,lottery,40.5,3.65,3.96
q1-2021,CAST WED,bettting,0,0,0
q1-2021,CAST SAT,bettting,0,0,0
q1-2021,CAST SUN,bettting,1.5,0.2,0.22
q1-2021,CASTGOALS,bettting,0,0,0
q1-2021,LUCKYSPIN,virtual,2005.25,46.18,48.82
q1-2021,GREYHOUNDS,bettting,0,0,0
q1-2021,BET_1,bettting,1736,39,44.69
q1-2021,BET_2,bettting,623.75,29.63,37.51
q1-2021,BET_3,bettting,291.5,19.83,23.05
q1-2021,BET_4,bettting,903,88.48,96.68
q1-2021,V-SOCCER_1,virtual,2461.75,86.18,96.81
q1-2021,V-SOCCER_2,virtual,59.5,3.28,3.32
q1-2021,V-SOCCER_3,virtual,52,3.75,4.05
q1-2021,V-SOCCER_4,virtual,6.25,0.57,0.54
q2-2021,FINO,lottery,88104.5,6439.73,6614.9
q2-2021,FINO SELF,lottery,579,27.56,27.95
q2-2021,JACKPOT,lottery,9747,1218.54,1246.49
q2-2021,LOTO,lottery,591,85.78,77.85
q2-2021,SEVEN-IN-ROW,lottery,732.5,85.73,83.06
